dataset_index,source_id,beat_index,group,target_count,pred_count,tp,fp,fn,precision,recall,f1,mean_abs_error_sec
0,drummer1/eval_session/1,0,kick,3,13,3,10,0,0.23076923076923078,1.0,0.375,0.003794523703887528
0,drummer1/eval_session/1,0,snare,5,9,4,5,1,0.4444444444444444,0.8,0.5714285714285714,0.0031044617693981452
0,drummer1/eval_session/1,0,tom,0,13,0,13,0,0.0,1.0,0.0,
0,drummer1/eval_session/1,0,hihat,7,11,7,4,0,0.6363636363636364,1.0,0.7777777777777778,0.01553252418449798
0,drummer1/eval_session/1,0,cymbal,9,11,8,3,1,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.01515839734733473
1,drummer1/eval_session/1,4,kick,4,17,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0.004122487646242479
1,drummer1/eval_session/1,4,snare,7,12,5,7,2,0.4166666666666667,0.7142857142857143,0.5263157894736842,0.005256288995007574
1,drummer1/eval_session/1,4,tom,0,13,0,13,0,0.0,1.0,0.0,
1,drummer1/eval_session/1,4,hihat,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.0055076236212411745
1,drummer1/eval_session/1,4,cymbal,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.029607415460520748
2,drummer1/eval_session/1,8,kick,3,13,3,10,0,0.23076923076923078,1.0,0.375,0.0038675629071052453
2,drummer1/eval_session/1,8,snare,5,11,5,6,0,0.45454545454545453,1.0,0.625,0.0037884318192157886
2,drummer1/eval_session/1,8,tom,0,13,0,13,0,0.0,1.0,0.0,
2,drummer1/eval_session/1,8,hihat,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.01217512454525006
2,drummer1/eval_session/1,8,cymbal,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.014915882193003441
3,drummer1/eval_session/1,16,kick,4,15,4,11,0,0.26666666666666666,1.0,0.4210526315789474,0.004158773077799657
3,drummer1/eval_session/1,16,snare,9,11,6,5,3,0.5454545454545454,0.6666666666666666,0.6,0.0035041396152045274
3,drummer1/eval_session/1,16,tom,0,12,0,12,0,0.0,1.0,0.0,
3,drummer1/eval_session/1,16,hihat,8,13,8,5,0,0.6153846153846154,1.0,0.761904761904762,0.00651357794953444
3,drummer1/eval_session/1,16,cymbal,8,12,7,5,1,0.5833333333333334,0.875,0.7000000000000001,0.021326222562040788
4,drummer1/eval_session/1,20,kick,4,17,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0.0028775376130884237
4,drummer1/eval_session/1,20,snare,7,14,6,8,1,0.42857142857142855,0.8571428571428571,0.5714285714285714,0.0043718603503406965
4,drummer1/eval_session/1,20,tom,0,14,0,14,0,0.0,1.0,0.0,
4,drummer1/eval_session/1,20,hihat,8,9,6,3,2,0.6666666666666666,0.75,0.7058823529411765,0.01124559882186347
4,drummer1/eval_session/1,20,cymbal,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.02009917309285081
5,drummer1/eval_session/1,24,kick,3,16,3,13,0,0.1875,1.0,0.3157894736842105,0.0027232497246571625
5,drummer1/eval_session/1,24,snare,4,10,4,6,0,0.4,1.0,0.5714285714285715,0.004928515792028174
5,drummer1/eval_session/1,24,tom,0,12,0,12,0,0.0,1.0,0.0,
5,drummer1/eval_session/1,24,hihat,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.011220294301167916
5,drummer1/eval_session/1,24,cymbal,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.017384464326783755
6,drummer1/eval_session/1,32,kick,4,17,3,14,1,0.17647058823529413,0.75,0.2857142857142857,0.005915810552313707
6,drummer1/eval_session/1,32,snare,8,9,6,3,2,0.6666666666666666,0.75,0.7058823529411765,0.00536332887158824
6,drummer1/eval_session/1,32,tom,0,13,0,13,0,0.0,1.0,0.0,
6,drummer1/eval_session/1,32,hihat,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.00910175442391514
6,drummer1/eval_session/1,32,cymbal,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.024191715791459453
7,drummer1/eval_session/1,36,kick,4,14,3,11,1,0.21428571428571427,0.75,0.3333333333333333,0.004146658962906437
7,drummer1/eval_session/1,36,snare,8,11,6,5,2,0.5454545454545454,0.75,0.631578947368421,0.009340897117792782
7,drummer1/eval_session/1,36,tom,0,13,0,13,0,0.0,1.0,0.0,
7,drummer1/eval_session/1,36,hihat,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.016915424323638045
7,drummer1/eval_session/1,36,cymbal,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.010995171720594638
8,drummer1/eval_session/1,40,kick,2,13,2,11,0,0.15384615384615385,1.0,0.2666666666666667,0.00603630400771725
8,drummer1/eval_session/1,40,snare,4,12,3,9,1,0.25,0.75,0.375,0.004080156143740595
8,drummer1/eval_session/1,40,tom,0,10,0,10,0,0.0,1.0,0.0,
8,drummer1/eval_session/1,40,hihat,8,6,5,1,3,0.8333333333333334,0.625,0.7142857142857143,0.01611155382548874
8,drummer1/eval_session/1,40,cymbal,8,7,6,1,2,0.8571428571428571,0.75,0.7999999999999999,0.02021924657368424
9,drummer1/eval_session/1,48,kick,4,14,4,10,0,0.2857142857142857,1.0,0.4444444444444445,0.004158756313993376
9,drummer1/eval_session/1,48,snare,9,13,7,6,2,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.005606084724711421
9,drummer1/eval_session/1,48,tom,0,15,0,15,0,0.0,1.0,0.0,
9,drummer1/eval_session/1,48,hihat,7,9,5,4,2,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.010362777101479936
9,drummer1/eval_session/1,48,cymbal,8,12,8,4,0,0.6666666666666666,1.0,0.8,0.020870788973901856
10,drummer1/eval_session/1,52,kick,4,18,4,14,0,0.2222222222222222,1.0,0.3636363636363636,0.002610001125142755
10,drummer1/eval_session/1,52,snare,8,12,5,7,3,0.4166666666666667,0.625,0.5,0.0044979617109104034
10,drummer1/eval_session/1,52,tom,0,14,0,14,0,0.0,1.0,0.0,
10,drummer1/eval_session/1,52,hihat,7,12,7,5,0,0.5833333333333334,1.0,0.7368421052631579,0.010745019738172943
10,drummer1/eval_session/1,52,cymbal,8,12,7,5,1,0.5833333333333334,0.875,0.7000000000000001,0.018767112201984164
11,drummer1/eval_session/1,56,kick,3,14,3,11,0,0.21428571428571427,1.0,0.35294117647058826,0.007357529178550394
11,drummer1/eval_session/1,56,snare,4,9,4,5,0,0.4444444444444444,1.0,0.6153846153846153,0.004723367155138866
11,drummer1/eval_session/1,56,tom,0,10,0,10,0,0.0,1.0,0.0,
