dataset_index,source_id,beat_index,group,target_count,pred_count,tp,fp,fn,precision,recall,f1,mean_abs_error_sec
0,drummer1/eval_session/1,0,kick,3,15,3,12,0,0.2,1.0,0.33333333333333337,0.005729519924598037
0,drummer1/eval_session/1,0,snare,5,13,5,8,0,0.38461538461538464,1.0,0.5555555555555556,0.004192338197409695
0,drummer1/eval_session/1,0,tom,0,14,0,14,0,0.0,1.0,0.0,
0,drummer1/eval_session/1,0,hihat,7,15,7,8,0,0.4666666666666667,1.0,0.6363636363636364,0.018054863607609297
0,drummer1/eval_session/1,0,cymbal,9,14,8,6,1,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.012988618615541642
1,drummer1/eval_session/1,4,kick,4,18,4,14,0,0.2222222222222222,1.0,0.3636363636363636,0.0026712404807095694
1,drummer1/eval_session/1,4,snare,7,15,5,10,2,0.3333333333333333,0.7142857142857143,0.4545454545454545,0.002934293530154941
1,drummer1/eval_session/1,4,tom,0,15,0,15,0,0.0,1.0,0.0,
1,drummer1/eval_session/1,4,hihat,8,11,7,4,1,0.6363636363636364,0.875,0.7368421052631579,0.002684150811997969
1,drummer1/eval_session/1,4,cymbal,8,12,8,4,0,0.6666666666666666,1.0,0.8,0.02593086495170847
2,drummer1/eval_session/1,8,kick,3,15,3,12,0,0.2,1.0,0.33333333333333337,0.0038675629071052453
2,drummer1/eval_session/1,8,snare,5,12,5,7,0,0.4166666666666667,1.0,0.5882352941176471,0.006110427284068377
2,drummer1/eval_session/1,8,tom,0,14,0,14,0,0.0,1.0,0.0,
2,drummer1/eval_session/1,8,hihat,8,10,8,2,0,0.8,1.0,0.888888888888889,0.00869636195604086
2,drummer1/eval_session/1,8,cymbal,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.018156006531050758
3,drummer1/eval_session/1,16,kick,4,15,4,11,0,0.26666666666666666,1.0,0.4210526315789474,0.004158773077799684
3,drummer1/eval_session/1,16,snare,9,13,6,7,3,0.46153846153846156,0.6666666666666666,0.5454545454545455,0.004571434571629493
3,drummer1/eval_session/1,16,tom,0,12,0,12,0,0.0,1.0,0.0,
3,drummer1/eval_session/1,16,hihat,8,14,7,7,1,0.5,0.875,0.6363636363636364,0.002203433396826275
3,drummer1/eval_session/1,16,cymbal,8,14,7,7,1,0.5,0.875,0.6363636363636364,0.019979944328587733
4,drummer1/eval_session/1,20,kick,4,18,4,14,0,0.2222222222222222,1.0,0.3636363636363636,0.0028775376130884237
4,drummer1/eval_session/1,20,snare,7,12,6,6,1,0.5,0.8571428571428571,0.631578947368421,0.011014351326231714
4,drummer1/eval_session/1,20,tom,0,14,0,14,0,0.0,1.0,0.0,
