dataset_index,source_id,beat_index,group,target_count,pred_count,tp,fp,fn,precision,recall,f1,mean_abs_error_sec
0,drummer1/eval_session/1,0,kick,3,8,3,5,0,0.375,1.0,0.5454545454545454,0.003794523703887528
0,drummer1/eval_session/1,0,snare,5,5,2,3,3,0.4,0.4,0.4000000000000001,0.0006698488188979501
0,drummer1/eval_session/1,0,tom,0,9,0,9,0,0.0,1.0,0.0,
0,drummer1/eval_session/1,0,hihat,7,10,7,3,0,0.7,1.0,0.8235294117647058,0.01636180827908818
0,drummer1/eval_session/1,0,cymbal,9,10,8,2,1,0.8,0.8888888888888888,0.8421052631578948,0.014483262830183651
1,drummer1/eval_session/1,4,kick,4,11,4,7,0,0.36363636363636365,1.0,0.5333333333333333,0.0026712404807095694
1,drummer1/eval_session/1,4,snare,7,7,3,4,4,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0013771847739691423
1,drummer1/eval_session/1,4,tom,0,11,0,11,0,0.0,1.0,0.0,
1,drummer1/eval_session/1,4,hihat,8,8,7,1,1,0.875,0.875,0.875,0.009160341526607009
1,drummer1/eval_session/1,4,cymbal,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.022302747037876266
2,drummer1/eval_session/1,8,kick,3,7,3,4,0,0.42857142857142855,1.0,0.6,0.0038675629071052453
2,drummer1/eval_session/1,8,snare,5,8,4,4,1,0.5,0.8,0.6153846153846154,0.0061590979708033445
2,drummer1/eval_session/1,8,tom,0,11,0,11,0,0.0,1.0,0.0,
2,drummer1/eval_session/1,8,hihat,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.008696361956040847
2,drummer1/eval_session/1,8,cymbal,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.01740373447677408
3,drummer1/eval_session/1,16,kick,4,10,4,6,0,0.4,1.0,0.5714285714285715,0.004158773077799684
3,drummer1/eval_session/1,16,snare,9,10,6,4,3,0.6,0.6666666666666666,0.631578947368421,0.014246395409602824
3,drummer1/eval_session/1,16,tom,0,12,0,12,0,0.0,1.0,0.0,
3,drummer1/eval_session/1,16,hihat,8,13,8,5,0,0.6153846153846154,1.0,0.761904761904762,0.005366179311390381
3,drummer1/eval_session/1,16,cymbal,8,12,7,5,1,0.5833333333333334,0.875,0.7000000000000001,0.023587333824899446
4,drummer1/eval_session/1,20,kick,4,9,4,5,0,0.4444444444444444,1.0,0.6153846153846153,0.0028775376130884237
4,drummer1/eval_session/1,20,snare,7,8,3,5,4,0.375,0.42857142857142855,0.39999999999999997,0.003496614613500574
4,drummer1/eval_session/1,20,tom,0,13,0,13,0,0.0,1.0,0.0,
4,drummer1/eval_session/1,20,hihat,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.018348024640223875
4,drummer1/eval_session/1,20,cymbal,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.014467171432087172
5,drummer1/eval_session/1,24,kick,3,6,3,3,0,0.5,1.0,0.6666666666666666,0.0013129174219091181
5,drummer1/eval_session/1,24,snare,4,6,3,3,1,0.5,0.75,0.6,0.0020378226947352363
5,drummer1/eval_session/1,24,tom,0,10,0,10,0,0.0,1.0,0.0,
5,drummer1/eval_session/1,24,hihat,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.012241742065472615
5,drummer1/eval_session/1,24,cymbal,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.013783669414161346
6,drummer1/eval_session/1,32,kick,4,9,4,5,0,0.4444444444444444,1.0,0.6153846153846153,0.004133539071508282
6,drummer1/eval_session/1,32,snare,8,7,4,3,4,0.5714285714285714,0.5,0.5333333333333333,0.005398659139128223
6,drummer1/eval_session/1,32,tom,0,10,0,10,0,0.0,1.0,0.0,
6,drummer1/eval_session/1,32,hihat,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.012729872337747316
6,drummer1/eval_session/1,32,cymbal,8,10,8,2,0,0.8,1.0,0.888888888888889,0.01887126412684028
7,drummer1/eval_session/1,36,kick,4,7,3,4,1,0.42857142857142855,0.75,0.5454545454545454,0.006081655183616909
7,drummer1/eval_session/1,36,snare,8,10,4,6,4,0.4,0.5,0.4444444444444445,0.0018095784669830278
7,drummer1/eval_session/1,36,tom,0,10,0,10,0,0.0,1.0,0.0,
7,drummer1/eval_session/1,36,hihat,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.010988644062796954
7,drummer1/eval_session/1,36,cymbal,8,11,7,4,1,0.6363636363636364,0.875,0.7368421052631579,0.008507319436823991
8,drummer1/eval_session/1,40,kick,2,8,2,6,0,0.25,1.0,0.4,0.00603630400771725
8,drummer1/eval_session/1,40,snare,4,5,3,2,1,0.6,0.75,0.6666666666666665,0.0021451599230300857
8,drummer1/eval_session/1,40,tom,0,12,0,12,0,0.0,1.0,0.0,
8,drummer1/eval_session/1,40,hihat,8,8,7,1,1,0.875,0.875,0.875,0.020121139990962923
8,drummer1/eval_session/1,40,cymbal,8,8,7,1,1,0.875,0.875,0.875,0.011216761527765807
9,drummer1/eval_session/1,48,kick,4,10,4,6,0,0.4,1.0,0.5714285714285715,0.004158756313993376
9,drummer1/eval_session/1,48,snare,9,8,3,5,6,0.375,0.3333333333333333,0.35294117647058826,0.00681332606667386
9,drummer1/eval_session/1,48,tom,0,11,0,11,0,0.0,1.0,0.0,
9,drummer1/eval_session/1,48,hihat,7,11,7,4,0,0.6363636363636364,1.0,0.7777777777777778,0.010892762823671711
9,drummer1/eval_session/1,48,cymbal,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.018693918225602547
10,drummer1/eval_session/1,52,kick,4,10,4,6,0,0.4,1.0,0.5714285714285715,0.002610001125142755
10,drummer1/eval_session/1,52,snare,8,8,4,4,4,0.5,0.5,0.5,0.0017958678822127955
10,drummer1/eval_session/1,52,tom,0,11,0,11,0,0.0,1.0,0.0,
10,drummer1/eval_session/1,52,hihat,7,11,6,5,1,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.022400551121611535
10,drummer1/eval_session/1,52,cymbal,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.008822008482879519
11,drummer1/eval_session/1,56,kick,3,8,3,5,0,0.375,1.0,0.5454545454545454,0.005422532957839887
11,drummer1/eval_session/1,56,snare,4,6,3,3,1,0.5,0.75,0.6,0.0036085116232513945
11,drummer1/eval_session/1,56,tom,0,11,0,11,0,0.0,1.0,0.0,
11,drummer1/eval_session/1,56,hihat,6,8,6,2,0,0.75,1.0,0.8571428571428571,0.022051332692530522
11,drummer1/eval_session/1,56,cymbal,8,8,7,1,1,0.875,0.875,0.875,0.010756765281764046
12,drummer1/eval_session/10,0,kick,3,8,3,5,0,0.375,1.0,0.5454545454545454,0.0036684938616351817
12,drummer1/eval_session/10,0,snare,5,4,2,2,3,0.5,0.4,0.4444444444444445,0.0060039322122154015
12,drummer1/eval_session/10,0,tom,0,8,0,8,0,0.0,1.0,0.0,
12,drummer1/eval_session/10,0,hihat,8,6,6,0,2,1.0,0.75,0.8571428571428571,0.011341679289948281
12,drummer1/eval_session/10,0,cymbal,0,7,0,7,0,0.0,1.0,0.0,
13,drummer1/eval_session/10,4,kick,3,8,3,5,0,0.375,1.0,0.5454545454545454,0.007342454436110484
13,drummer1/eval_session/10,4,snare,2,6,2,4,0,0.3333333333333333,1.0,0.5,0.0071973335094192015
13,drummer1/eval_session/10,4,tom,0,7,0,7,0,0.0,1.0,0.0,
13,drummer1/eval_session/10,4,hihat,8,8,8,0,0,1.0,1.0,1.0,0.011065822073053583
13,drummer1/eval_session/10,4,cymbal,0,8,0,8,0,0.0,1.0,0.0,
14,drummer1/eval_session/10,8,kick,3,8,3,5,0,0.375,1.0,0.5454545454545454,0.005325885524611371
14,drummer1/eval_session/10,8,snare,6,6,2,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.005977393642844997
14,drummer1/eval_session/10,8,tom,0,8,0,8,0,0.0,1.0,0.0,
14,drummer1/eval_session/10,8,hihat,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.004175761542779289
14,drummer1/eval_session/10,8,cymbal,0,9,0,9,0,0.0,1.0,0.0,
15,drummer1/eval_session/10,12,kick,3,8,3,5,0,0.375,1.0,0.5454545454545454,0.005129217507482359
15,drummer1/eval_session/10,12,snare,4,5,2,3,2,0.4,0.5,0.4444444444444445,0.0013923448472877298
15,drummer1/eval_session/10,12,tom,0,7,0,7,0,0.0,1.0,0.0,
15,drummer1/eval_session/10,12,hihat,8,8,8,0,0,1.0,1.0,1.0,0.004448984287565145
15,drummer1/eval_session/10,12,cymbal,0,8,0,8,0,0.0,1.0,0.0,
16,drummer1/eval_session/10,16,kick,3,9,3,6,0,0.3333333333333333,1.0,0.5,0.006542852551705172
16,drummer1/eval_session/10,16,snare,4,6,2,4,2,0.3333333333333333,0.5,0.4,0.007862794315463495
16,drummer1/eval_session/10,16,tom,0,10,0,10,0,0.0,1.0,0.0,
16,drummer1/eval_session/10,16,hihat,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.009751946324157287
16,drummer1/eval_session/10,16,cymbal,0,9,0,9,0,0.0,1.0,0.0,
17,drummer1/eval_session/10,20,kick,3,8,3,5,0,0.375,1.0,0.5454545454545454,0.0012894342114652443
17,drummer1/eval_session/10,20,snare,4,8,3,5,1,0.375,0.75,0.5,0.010344740025310495
17,drummer1/eval_session/10,20,tom,0,7,0,7,0,0.0,1.0,0.0,
17,drummer1/eval_session/10,20,hihat,8,8,8,0,0,1.0,1.0,1.0,0.005692769410933359
17,drummer1/eval_session/10,20,cymbal,0,8,0,8,0,0.0,1.0,0.0,
18,drummer1/eval_session/10,24,kick,4,9,4,5,0,0.4444444444444444,1.0,0.6153846153846153,0.013349261531931474
18,drummer1/eval_session/10,24,snare,4,6,2,4,2,0.3333333333333333,0.5,0.4,0.005782399947951378
18,drummer1/eval_session/10,24,tom,0,7,0,7,0,0.0,1.0,0.0,
18,drummer1/eval_session/10,24,hihat,8,8,8,0,0,1.0,1.0,1.0,0.006150835085334991
18,drummer1/eval_session/10,24,cymbal,0,9,0,9,0,0.0,1.0,0.0,
19,drummer1/eval_session/10,28,kick,2,8,2,6,0,0.25,1.0,0.4,0.002616783383211474
19,drummer1/eval_session/10,28,snare,3,6,2,4,1,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.0041723832846228825
19,drummer1/eval_session/10,28,tom,0,8,0,8,0,0.0,1.0,0.0,
19,drummer1/eval_session/10,28,hihat,8,8,8,0,0,1.0,1.0,1.0,0.004297101216268254
19,drummer1/eval_session/10,28,cymbal,0,8,0,8,0,0.0,1.0,0.0,
20,drummer1/eval_session/10,32,kick,3,10,3,7,0,0.3,1.0,0.4615384615384615,0.0016674718151230958
20,drummer1/eval_session/10,32,snare,4,7,2,5,2,0.2857142857142857,0.5,0.36363636363636365,0.004879879867679127
20,drummer1/eval_session/10,32,tom,0,10,0,10,0,0.0,1.0,0.0,
20,drummer1/eval_session/10,32,hihat,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.005692770342255988
