dataset_index,source_id,beat_index,group,target_count,pred_count,tp,fp,fn,precision,recall,f1,mean_abs_error_sec
0,drummer1/eval_session/1,0,kick,3,11,3,8,0,0.2727272727272727,1.0,0.42857142857142855,0.004653142778229677
0,drummer1/eval_session/1,0,snare,5,15,5,10,0,0.3333333333333333,1.0,0.5,0.0017998149378769869
0,drummer1/eval_session/1,0,tom,0,12,0,12,0,0.0,1.0,0.0,
0,drummer1/eval_session/1,0,hihat,7,13,6,7,1,0.46153846153846156,0.8571428571428571,0.6,0.005082866550392963
0,drummer1/eval_session/1,0,cymbal,9,12,7,5,2,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.016899875469498536
1,drummer1/eval_session/1,4,kick,4,14,4,10,0,0.2857142857142857,1.0,0.4444444444444445,0.001936474123910537
1,drummer1/eval_session/1,4,snare,7,14,6,8,1,0.42857142857142855,0.8571428571428571,0.5714285714285714,0.009154923013999219
1,drummer1/eval_session/1,4,tom,0,14,0,14,0,0.0,1.0,0.0,
1,drummer1/eval_session/1,4,hihat,8,11,7,4,1,0.6363636363636364,0.875,0.7368421052631579,0.002382223495087032
1,drummer1/eval_session/1,4,cymbal,8,12,8,4,0,0.6666666666666666,1.0,0.8,0.021577123455109867
2,drummer1/eval_session/1,8,kick,3,11,3,8,0,0.2727272727272727,1.0,0.42857142857142855,0.0012486599250580643
2,drummer1/eval_session/1,8,snare,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.0029258589697431685
2,drummer1/eval_session/1,8,tom,0,12,0,12,0,0.0,1.0,0.0,
2,drummer1/eval_session/1,8,hihat,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.00999825379695075
2,drummer1/eval_session/1,8,cymbal,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.015286755168054483
3,drummer1/eval_session/1,16,kick,4,11,4,7,0,0.36363636363636365,1.0,0.5333333333333333,0.008643954693806463
3,drummer1/eval_session/1,16,snare,9,14,6,8,3,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.002636438350918986
3,drummer1/eval_session/1,16,tom,0,14,0,14,0,0.0,1.0,0.0,
3,drummer1/eval_session/1,16,hihat,8,14,8,6,0,0.5714285714285714,1.0,0.7272727272727273,0.007603141865323442
3,drummer1/eval_session/1,16,cymbal,8,14,8,6,0,0.5714285714285714,1.0,0.7272727272727273,0.020911574499732286
4,drummer1/eval_session/1,20,kick,4,14,4,10,0,0.2857142857142857,1.0,0.4444444444444445,0.005376440065864321
4,drummer1/eval_session/1,20,snare,7,14,5,9,2,0.35714285714285715,0.7142857142857143,0.4761904761904762,0.002819960990460324
4,drummer1/eval_session/1,20,tom,0,15,0,15,0,0.0,1.0,0.0,
4,drummer1/eval_session/1,20,hihat,8,12,8,4,0,0.6666666666666666,1.0,0.8,0.008747133942418078
4,drummer1/eval_session/1,20,cymbal,8,12,8,4,0,0.6666666666666666,1.0,0.8,0.027400278116084323
5,drummer1/eval_session/1,24,kick,3,11,3,8,0,0.2727272727272727,1.0,0.42857142857142855,0.0012721309501421629
5,drummer1/eval_session/1,24,snare,4,15,4,11,0,0.26666666666666666,1.0,0.4210526315789474,0.004928515792028174
5,drummer1/eval_session/1,24,tom,0,13,0,13,0,0.0,1.0,0.0,
5,drummer1/eval_session/1,24,hihat,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.0072585004563031595
5,drummer1/eval_session/1,24,cymbal,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.017411787327993547
6,drummer1/eval_session/1,32,kick,4,13,4,9,0,0.3076923076923077,1.0,0.47058823529411764,0.005604837434170997
6,drummer1/eval_session/1,32,snare,8,15,7,8,1,0.4666666666666667,0.875,0.608695652173913,0.0015459202733439867
6,drummer1/eval_session/1,32,tom,0,13,0,13,0,0.0,1.0,0.0,
6,drummer1/eval_session/1,32,hihat,8,15,8,7,0,0.5333333333333333,1.0,0.6956521739130436,0.01047596775181171
6,drummer1/eval_session/1,32,cymbal,8,13,7,6,1,0.5384615384615384,0.875,0.6666666666666667,0.021390417807376216
7,drummer1/eval_session/1,36,kick,4,15,3,12,1,0.2,0.75,0.31578947368421056,0.0011685565895684462
7,drummer1/eval_session/1,36,snare,8,13,6,7,2,0.46153846153846156,0.75,0.5714285714285714,0.006438402786727036
7,drummer1/eval_session/1,36,tom,0,15,0,15,0,0.0,1.0,0.0,
7,drummer1/eval_session/1,36,hihat,8,11,6,5,2,0.5454545454545454,0.75,0.631578947368421,0.01238848900556203
7,drummer1/eval_session/1,36,cymbal,8,11,7,4,1,0.6363636363636364,0.875,0.7368421052631579,0.008841593927252174
8,drummer1/eval_session/1,40,kick,2,11,2,9,0,0.18181818181818182,1.0,0.3076923076923077,0.001569150447710263
8,drummer1/eval_session/1,40,snare,4,11,4,7,0,0.36363636363636365,1.0,0.5333333333333333,0.0017233759766262652
8,drummer1/eval_session/1,40,tom,0,14,0,14,0,0.0,1.0,0.0,
8,drummer1/eval_session/1,40,hihat,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.014316151328831394
