dataset_index,source_id,beat_index,group,target_count,pred_count,tp,fp,fn,precision,recall,f1,mean_abs_error_sec
0,drummer1/eval_session/1,0,kick,3,14,3,11,0,0.21428571428571427,1.0,0.35294117647058826,0.015393725928997607
0,drummer1/eval_session/1,0,snare,5,13,4,9,1,0.3076923076923077,0.8,0.4444444444444444,0.014543902717209747
0,drummer1/eval_session/1,0,tom,0,13,0,13,0,0.0,1.0,0.0,
0,drummer1/eval_session/1,0,hihat,7,10,2,8,5,0.2,0.2857142857142857,0.23529411764705882,0.028916445602905683
0,drummer1/eval_session/1,0,cymbal,9,12,6,6,3,0.5,0.6666666666666666,0.5714285714285715,0.015435637736795805
1,drummer1/eval_session/1,4,kick,4,16,3,13,1,0.1875,0.75,0.3,0.01660924377588615
1,drummer1/eval_session/1,4,snare,7,20,5,15,2,0.25,0.7142857142857143,0.37037037037037035,0.01993556051892218
1,drummer1/eval_session/1,4,tom,0,15,0,15,0,0.0,1.0,0.0,
1,drummer1/eval_session/1,4,hihat,8,9,5,4,3,0.5555555555555556,0.625,0.5882352941176471,0.024539646776895685
1,drummer1/eval_session/1,4,cymbal,8,15,6,9,2,0.4,0.75,0.5217391304347827,0.02590476441684932
2,drummer1/eval_session/1,8,kick,3,15,3,12,0,0.2,1.0,0.33333333333333337,0.010789003520302922
2,drummer1/eval_session/1,8,snare,5,15,4,11,1,0.26666666666666666,0.8,0.4,0.017354050580551512
2,drummer1/eval_session/1,8,tom,0,13,0,13,0,0.0,1.0,0.0,
2,drummer1/eval_session/1,8,hihat,8,7,4,3,4,0.5714285714285714,0.5,0.5333333333333333,0.023493367678183857
2,drummer1/eval_session/1,8,cymbal,8,7,2,5,6,0.2857142857142857,0.25,0.26666666666666666,0.026116345339621594
3,drummer1/eval_session/1,16,kick,4,14,4,10,0,0.2857142857142857,1.0,0.4444444444444445,0.00864395469380649
3,drummer1/eval_session/1,16,snare,9,14,4,10,5,0.2857142857142857,0.4444444444444444,0.34782608695652173,0.01268250910535694
3,drummer1/eval_session/1,16,tom,0,13,0,13,0,0.0,1.0,0.0,
3,drummer1/eval_session/1,16,hihat,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.01771232642921231
3,drummer1/eval_session/1,16,cymbal,8,12,8,4,0,0.6666666666666666,1.0,0.8,0.017387785777943768
4,drummer1/eval_session/1,20,kick,4,18,4,14,0,0.2222222222222222,1.0,0.3636363636363636,0.026412676422309773
4,drummer1/eval_session/1,20,snare,7,15,5,10,2,0.3333333333333333,0.7142857142857143,0.4545454545454545,0.015073872500806685
4,drummer1/eval_session/1,20,tom,0,16,0,16,0,0.0,1.0,0.0,
4,drummer1/eval_session/1,20,hihat,8,10,6,4,2,0.6,0.75,0.6666666666666665,0.028979554484490647
4,drummer1/eval_session/1,20,cymbal,8,13,7,6,1,0.5384615384615384,0.875,0.6666666666666667,0.008553903037057685
5,drummer1/eval_session/1,24,kick,3,17,3,14,0,0.17647058823529413,1.0,0.3,0.02259787584972466
5,drummer1/eval_session/1,24,snare,4,15,3,12,1,0.2,0.75,0.31578947368421056,0.024034332743397446
5,drummer1/eval_session/1,24,tom,0,16,0,16,0,0.0,1.0,0.0,
5,drummer1/eval_session/1,24,hihat,8,10,6,4,2,0.6,0.75,0.6666666666666665,0.034341436833345985
5,drummer1/eval_session/1,24,cymbal,8,12,6,6,2,0.5,0.75,0.6,0.013173355331583902
6,drummer1/eval_session/1,32,kick,4,14,3,11,1,0.21428571428571427,0.75,0.3333333333333333,0.014376343615847298
6,drummer1/eval_session/1,32,snare,8,14,5,9,3,0.35714285714285715,0.625,0.45454545454545453,0.017833747531010736
6,drummer1/eval_session/1,32,tom,0,12,0,12,0,0.0,1.0,0.0,
6,drummer1/eval_session/1,32,hihat,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.027416064317920746
6,drummer1/eval_session/1,32,cymbal,8,12,8,4,0,0.6666666666666666,1.0,0.8,0.00726128680257722
7,drummer1/eval_session/1,36,kick,4,15,2,13,2,0.13333333333333333,0.5,0.2105263157894737,0.01898411643410483
7,drummer1/eval_session/1,36,snare,8,15,4,11,4,0.26666666666666666,0.5,0.3478260869565218,0.012136062349186447
7,drummer1/eval_session/1,36,tom,0,13,0,13,0,0.0,1.0,0.0,
