run_id,display_name,family,model,split,num_examples,num_steps,rvq_ce_weight,target_layout,target_dim,num_parameters,x_dim,d_model,num_layers,num_heads,frontend_variant,frontend_radii,frontend_embed_dim,positional_encoding,best_checkpoint_epoch,fad_inf,fad_inf_ci_low,fad_inf_ci_high,fad_inf_r2,mel_mae_db,onset_flux_cosine,low_flux_cosine,mid_flux_cosine,high_flux_cosine,band_balance_l1,centroid_mae_hz,rms_mae_db,rms_norm_mae_db,crest_mae_db,mrstft_logmag_l1_mean,audio_l1_mean,rtf_end_to_end,audio_sec_per_sec,total_train_wall_sec,time_to_best_checkpoint_sec,peak_gpu_mem_allocated_mb,run_dir,eval_dir,source_artifacts
reconstruction_ceiling:target_dac_recon,Target DAC reconstruction,reconstruction_ceiling,target_dac_recon,test,1733,,,,,0,,,,,,,,,-1,0.0155491753363,0.0153895174077,0.0157863595971,0.848420856109,0.096367455749,0.999438453916,0.999338203953,0.997718569535,0.999266968003,0.000206104617642,11.1349252832,7.28834861316,,0.00762140886439,0.000829127575796,0.00015806271787,0.0151287006167,66.0995299819,,0,5520.74707031,runs_baselines/dac_test_v1/target_dac_recon,paper_results/full_acoustic_eval/acoustic_eval,paper_results/full_acoustic_eval/acoustic_eval/overall_summary.csv;paper_results/full_acoustic_eval/acoustic_eval/efficiency_summary.csv;paper_results/full_acoustic_eval/direct_audio_eval/target_dac_recon/summary.json;runs_baselines/dac_test_v1/target_dac_recon/summary.json
reconstruction_ceiling:target_pca_recon,Target PCA reconstruction,reconstruction_ceiling,target_pca_recon,test,1733,,,,,0,,,,,,,,,-1,0.015538964737,0.0153843503649,0.0157771486747,0.847494208158,0.0963681775655,0.999438456238,0.999338211238,0.997718539596,0.999266975929,0.000206202740398,11.1283562908,7.28835975372,,0.00763557499324,0.000829433811855,0.000158100947813,0.0149041797181,67.0952725287,,0,5528.87207031,runs_baselines/dac_test_v1/target_pca_recon,paper_results/full_acoustic_eval/acoustic_eval,paper_results/full_acoustic_eval/acoustic_eval/overall_summary.csv;paper_results/full_acoustic_eval/acoustic_eval/efficiency_summary.csv;paper_results/full_acoustic_eval/direct_audio_eval/target_pca_recon/summary.json;runs_baselines/dac_test_v1/target_pca_recon/summary.json
baseline:grid_render,Symbolic grid render,baseline,grid_render,test,1733,,,,,0,,,,,,,,,-1,0.551172057874,0.549389880113,0.552444296476,0.146769686684,19.2672230285,0.763012544233,0.646084591612,0.691570573541,0.740182237359,0.08193680889,2119.03475392,9.82630068973,,2.80878135782,0.263976059355,0.0859025831141,0.00350936513501,284.951825053,,0,5763.36230469,runs_baselines/dac_test_v1/grid_render,paper_results/full_acoustic_eval/acoustic_eval,paper_results/full_acoustic_eval/acoustic_eval/overall_summary.csv;paper_results/full_acoustic_eval/acoustic_eval/efficiency_summary.csv;paper_results/full_acoustic_eval/direct_audio_eval/grid_render/summary.json;runs_baselines/dac_test_v1/grid_render/summary.json
baseline:source_code_decode,Source-code decode,baseline,source_code_decode,test,1733,,,,,0,,,,,,,,,-1,0.0155491753363,0.0153895174077,0.0157863595971,0.848420856109,0.096367455749,0.999438453916,0.999338203953,0.997718569535,0.999266968003,0.000206104617642,11.1349252832,7.28834861316,,0.00762140886439,0.000829127575796,0.00015806271787,0.0150194866545,66.5801716801,,0,5763.36230469,runs_baselines/dac_test_v1/source_code_decode,paper_results/full_acoustic_eval/acoustic_eval,paper_results/full_acoustic_eval/acoustic_eval/overall_summary.csv;paper_results/full_acoustic_eval/acoustic_eval/efficiency_summary.csv;paper_results/full_acoustic_eval/direct_audio_eval/source_code_decode/summary.json;runs_baselines/dac_test_v1/source_code_decode/summary.json
baseline:symbolic_nn_train,Symbolic NN retrieval,baseline,symbolic_nn_train,test,1733,,,,,0,,,,,,,,,-1,0.0247002105555,0.0243876150884,0.0249867530845,0.845708627775,17.543753832,0.329854717951,0.220163538555,0.171837360003,0.363164925122,0.100434837612,1121.9946413,7.64632515353,,2.39157647769,0.208172301442,0.067066206923,0.018045605273,55.4151542646,,0,5763.36230469,runs_baselines/dac_test_v1/symbolic_nn_train,paper_results/full_acoustic_eval/acoustic_eval,paper_results/full_acoustic_eval/acoustic_eval/overall_summary.csv;paper_results/full_acoustic_eval/acoustic_eval/efficiency_summary.csv;paper_results/full_acoustic_eval/direct_audio_eval/symbolic_nn_train/summary.json;runs_baselines/dac_test_v1/symbolic_nn_train/summary.json
direct_pca:direct_pca_d1024_l6_seed1234,Direct PCA regressor,direct_pca,direct_pca_d1024_l6_seed1234,test,1733,,,framewise_pca,72,76498504,72,1024,6,8,hybrid,"0,22,41,55",64,seconds,14,0.35502302911,0.352201635348,0.3579587855,0.169319163285,13.0358244953,0.835696027383,0.661190238824,0.805144082784,0.79942842563,0.169194207204,1723.05519775,5.53172545657,,8.30943678106,0.135867904915,0.0450960266889,0.0214678199994,46.5813482705,,0,,runs_direct/direct_pca_d1024_l6_seed1234,paper_results/full_acoustic_eval/acoustic_eval,paper_results/full_acoustic_eval/acoustic_eval/overall_summary.csv;paper_results/full_acoustic_eval/acoustic_eval/efficiency_summary.csv;paper_results/full_acoustic_eval/direct_audio_eval/direct_pca_d1024_l6_seed1234/summary.json;runs_direct/direct_pca_d1024_l6_seed1234/run_config.json
diffusion_pca:dac_6steps,Diffusion PCA 6 steps,diffusion_pca,dac_6steps,test,1733,6,0,framewise_pca,72,91853384,72,768,6,8,hybrid,"0,22,41,55",64,seconds,148,0.0233604562978,0.0227745538712,0.0236041368834,0.851482662565,6.38679574531,0.843294440899,0.68401150252,0.790311768391,0.849217343517,0.0415544752226,546.454540387,6.74873402949,,1.695831977,0.107802567697,0.0533521043715,0.0596183101392,16.7733704237,,0,,runs_dac/dac_6steps,paper_results/full_acoustic_eval/acoustic_eval,paper_results/full_acoustic_eval/acoustic_eval/overall_summary.csv;paper_results/full_acoustic_eval/acoustic_eval/efficiency_summary.csv;paper_results/full_acoustic_eval/direct_audio_eval/diffusion_pca_6steps/summary.json;runs_dac/dac_6steps/run_config.json
diffusion_pca:dac_12steps,Diffusion PCA 12 steps,diffusion_pca,dac_12steps,test,1733,12,0,framewise_pca,72,91853384,72,768,6,8,hybrid,"0,22,41,55",64,seconds,133,0.0209278116201,0.020504651626,0.0212472942934,0.834508386204,5.75372587981,0.849850749161,0.702783278398,0.80502765642,0.855313737713,0.0354884047061,408.832322928,6.7578038019,,1.62617784553,0.106100254743,0.0533407301241,0.0645858289206,15.4832726732,,0,,runs_dac/dac_12steps,paper_results/full_acoustic_eval/acoustic_eval,paper_results/full_acoustic_eval/acoustic_eval/overall_summary.csv;paper_results/full_acoustic_eval/acoustic_eval/efficiency_summary.csv;paper_results/full_acoustic_eval/direct_audio_eval/diffusion_pca_12steps/summary.json;runs_dac/dac_12steps/run_config.json
diffusion_pca:dac_25steps,Diffusion PCA 25 steps,diffusion_pca,dac_25steps,test,1733,25,0,framewise_pca,72,91853384,72,768,6,8,hybrid,"0,22,41,55",64,seconds,148,0.0193619693101,0.0189464303866,0.0196620772656,0.890769663915,5.68599005428,0.847669604838,0.708414439547,0.806756543088,0.850442975576,0.0336683600108,394.046479971,6.96384331507,,1.6057250491,0.106144873534,0.0536485509393,0.076686240162,13.0401490266,,0,,runs_dac/dac_25steps,paper_results/full_acoustic_eval/acoustic_eval,paper_results/full_acoustic_eval/acoustic_eval/overall_summary.csv;paper_results/full_acoustic_eval/acoustic_eval/efficiency_summary.csv;paper_results/full_acoustic_eval/direct_audio_eval/diffusion_pca_25steps/summary.json;runs_dac/dac_25steps/run_config.json
diffusion_pca:dac_50steps,Diffusion PCA 50 steps,diffusion_pca,dac_50steps,test,1733,50,0,framewise_pca,72,91853384,72,768,6,8,hybrid,"0,22,41,55",64,seconds,146,0.0239396923865,0.023475857796,0.0243880889753,0.743574636118,5.70625098317,0.839280023795,0.693512994733,0.790963701562,0.840998034645,0.0387331976218,397.852452707,6.60432466254,,1.72897042176,0.108569011386,0.0544256065213,0.107277530004,9.32161655815,,0,,runs_dac/dac_50steps,paper_results/full_acoustic_eval/acoustic_eval,paper_results/full_acoustic_eval/acoustic_eval/overall_summary.csv;paper_results/full_acoustic_eval/acoustic_eval/efficiency_summary.csv;paper_results/full_acoustic_eval/direct_audio_eval/diffusion_pca_50steps/summary.json;runs_dac/dac_50steps/run_config.json
diffusion_pca_rvq_ce:dac_6steps,Diffusion PCA+RVQ-CE 6 steps,diffusion_pca_rvq_ce,dac_6steps,test,1733,6,0.1,framewise_pca,72,91853384,72,768,6,8,hybrid,"0,22,41,55",64,seconds,143,0.0218219495626,0.0213531048773,0.0221119535969,0.829657362121,5.46961766519,0.866241488654,0.743124946372,0.816361142424,0.868185837103,0.0395392096936,408.267322071,6.76995334488,,1.61337509557,0.105463585497,0.0508503597756,0.0274299836431,36.4564563002,,0,,runs_dac_ce/dac_6steps,paper_results/full_acoustic_eval/acoustic_eval,paper_results/full_acoustic_eval/acoustic_eval/overall_summary.csv;paper_results/full_acoustic_eval/acoustic_eval/efficiency_summary.csv;paper_results/full_acoustic_eval/direct_audio_eval/diffusion_pca_rvq_ce_6steps/summary.json;runs_dac_ce/dac_6steps/run_config.json
diffusion_pca_rvq_ce:dac_12steps,Diffusion PCA+RVQ-CE 12 steps,diffusion_pca_rvq_ce,dac_12steps,test,1733,12,0.1,framewise_pca,72,91853384,72,768,6,8,hybrid,"0,22,41,55",64,seconds,143,0.0203627546625,0.0200266189871,0.0206433329841,0.845363309671,5.39379075684,0.863731176181,0.738591690149,0.812736011418,0.866499109351,0.0331122116567,352.81801139,6.75416029123,,1.59513251006,0.10565377707,0.0514776044274,0.0456498781025,21.9058635327,,0,,runs_dac_ce/dac_12steps,paper_results/full_acoustic_eval/acoustic_eval,paper_results/full_acoustic_eval/acoustic_eval/overall_summary.csv;paper_results/full_acoustic_eval/acoustic_eval/efficiency_summary.csv;paper_results/full_acoustic_eval/direct_audio_eval/diffusion_pca_rvq_ce_12steps/summary.json;runs_dac_ce/dac_12steps/run_config.json
diffusion_pca_rvq_ce:dac_25steps,Diffusion PCA+RVQ-CE 25 steps,diffusion_pca_rvq_ce,dac_25steps,test,1733,25,0.1,framewise_pca,72,91853384,72,768,6,8,hybrid,"0,22,41,55",64,seconds,146,0.0201942871218,0.0199208424527,0.0204147634908,0.847595624897,5.46788999915,0.862974949673,0.738343119429,0.822771678209,0.86111133916,0.0325278901709,364.614389352,6.42180934931,,1.71600010038,0.103798454303,0.0512398549775,0.0720934659813,13.8708825604,,0,,runs_dac_ce/dac_25steps,paper_results/full_acoustic_eval/acoustic_eval,paper_results/full_acoustic_eval/acoustic_eval/overall_summary.csv;paper_results/full_acoustic_eval/acoustic_eval/efficiency_summary.csv;paper_results/full_acoustic_eval/direct_audio_eval/diffusion_pca_rvq_ce_25steps/summary.json;runs_dac_ce/dac_25steps/run_config.json
