epoch,train_loss,train_diffusion_loss,train_audio_wave_l1,train_audio_mrstft,train_x0,train_x0_loss,train_timbre_proj_mse,train_quant_embed_mse,train_rvq_ce,train_onset_weighted_x0,train_steps,train_batches_per_epoch,train_valid_tokens_seen,train_audio_seconds_seen,train_elapsed_sec,train_steps_per_sec,train_tokens_per_sec,train_audio_seconds_per_sec,train_peak_gpu_mem_allocated_mb,train_peak_gpu_mem_reserved_mb,val_loss,val_diffusion_loss,val_audio_wave_l1,val_audio_mrstft,val_x0,val_x0_loss,val_timbre_proj_mse,val_quant_embed_mse,val_rvq_ce,val_onset_weighted_x0,val_steps,val_valid_tokens_seen,val_audio_seconds_seen,val_elapsed_sec,val_steps_per_sec,val_tokens_per_sec,val_audio_seconds_per_sec,val_peak_gpu_mem_allocated_mb,val_peak_gpu_mem_reserved_mb,best_val_loss,checkpoint_metric_name,checkpoint_metric_value,best_checkpoint_metric_value,best_checkpoint_epoch,global_step,checkpoint_improved
0,0.48044708516469425,0.48044708516469425,0.0,0.0,0.4268138774238134,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51006603241,382.3751222193241,7.534485986636718,4800.367213605397,55.73717751911669,6116.8017578125,9244.0,0.4545465725192723,0.4545465725192723,0.0,0.0,0.3988771608122382,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,24.173807499930263,15.884961440232688,11345.999177034533,131.74589881474245,2377.5263671875,8686.0,0.4545465725192723,val_loss,0.4545465725192723,0.4545465725192723,0,2881,True
1,0.4600801935470516,0.4600801935470516,0.0,0.0,0.3691890129741687,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51001739502,375.84730857796967,7.665346895526153,4883.741237751118,56.70523516060707,6116.8017578125,8688.0,0.46022447303160635,0.46022447303160635,0.0,0.0,0.3408561997069531,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,23.836559737101197,16.10970728306529,11506.526236380249,133.6098846468934,2377.5263671875,8688.0,0.4545465725192723,val_loss,0.46022447303160635,0.4545465725192723,0,5762,False
2,0.4466766145931158,0.4466766145931158,0.0,0.0,0.35466764953285806,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51002550125,376.46804861165583,7.652707874212944,4875.688672037731,56.61173665095305,6116.8017578125,8688.0,0.44036806612469565,0.44036806612469565,0.0,0.0,0.34935151573154144,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,24.12639980763197,15.91617493955846,11368.293744068584,132.00477577451977,2377.5263671875,8688.0,0.44036806612469565,val_loss,0.44036806612469565,0.44036806612469565,2,8643,True
3,0.4291039387657023,0.4291039387657023,0.0,0.0,0.34783567827070794,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.510028362274,377.5166556984186,7.631451371781338,4862.145741898955,56.454489375928084,6116.8017578125,8688.0,0.4214952206239104,0.4214952206239104,0.0,0.0,0.3620798343696758,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,24.340793957933784,15.775984984862696,11268.161608615106,130.84207533891072,2377.5263671875,8688.0,0.4214952206239104,val_loss,0.4214952206239104,0.4214952206239104,3,11524,True
4,0.42860967026365915,0.42860967026365915,0.0,0.0,0.34251236658537204,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51003217697,376.37221417576075,7.654656458392574,4876.9301528269225,56.62615153153765,6116.8017578125,8688.0,0.424498955020681,0.424498955020681,0.0,0.0,0.3246928440936851,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,24.470139851793647,15.692595233445429,11208.599610022078,130.15046158877718,2377.5263671875,8688.0,0.4214952206239104,val_loss,0.424498955020681,0.4214952206239104,3,14405,False
5,0.41934322964378073,0.41934322964378073,0.0,0.0,0.3278772089393494,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.510053157806,376.4086955487728,7.6539145722968485,4876.457482800531,56.62066340440389,6116.8017578125,8688.0,0.40007408265470684,0.40007408265470684,0.0,0.0,0.3512258731467834,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,23.8699344471097,16.087182847144216,11490.43792339408,133.4230726066576,2377.5263671875,8688.0,0.40007408265470684,val_loss,0.40007408265470684,0.40007408265470684,5,17286,True
6,0.4157726291139733,0.4157726291139733,0.0,0.0,0.320232046720105,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51007270813,378.20424907654524,7.617577028905645,4853.306128849183,56.35185253668227,6116.8017578125,8688.0,0.40321377415481646,0.40321377415481646,0.0,0.0,0.32259369599402515,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,23.36647026054561,16.4338043238129,11738.01592374507,136.2978644759377,2377.5263671875,8688.0,0.40007408265470684,val_loss,0.40321377415481646,0.40007408265470684,5,20167,False
7,0.4069430651295127,0.4069430651295127,0.0,0.0,0.3223594583740105,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51005268097,378.18177520669997,7.61802971183726,4853.594541928315,56.35520125482607,6116.8017578125,8688.0,0.407655871026994,0.407655871026994,0.0,0.0,0.31797004301915877,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,23.797004144638777,16.13648498214475,11525.652486882118,133.83197218841423,2377.5263671875,8688.0,0.40007408265470684,val_loss,0.407655871026994,0.40007408265470684,5,23048,False
8,0.3998614910130765,0.3998614910130765,0.0,0.0,0.33599635375604964,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51005601883,375.99926675111055,7.662248984934997,4881.767498804779,56.68231813368524,6116.8017578125,8688.0,0.39170146197041805,0.39170146197041805,0.0,0.0,0.3177934820426647,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,24.041999956592917,15.972048943236837,11408.202333216737,132.46818079206938,2377.5263671875,8688.0,0.39170146197041805,val_loss,0.39170146197041805,0.39170146197041805,8,25929,True
9,0.40172154344010585,0.40172154344010585,0.0,0.0,0.31258269528806965,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.5100274086,373.2550388649106,7.7185830063038985,4917.658996867082,57.09905509171727,6116.8017578125,8688.0,0.38221210408664774,0.38221210408664774,0.0,0.0,0.3364669502182854,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,23.907658072188497,16.061799062062995,11472.30729048539,133.21254583934828,2377.5263671875,8688.0,0.38221210408664774,val_loss,0.38221210408664774,0.38221210408664774,9,28810,True
