epoch,train_loss,train_diffusion_loss,train_audio_wave_l1,train_audio_mrstft,train_x0,train_x0_loss,train_timbre_proj_mse,train_quant_embed_mse,train_rvq_ce,train_onset_weighted_x0,train_steps,train_batches_per_epoch,train_valid_tokens_seen,train_audio_seconds_seen,train_elapsed_sec,train_steps_per_sec,train_tokens_per_sec,train_audio_seconds_per_sec,train_peak_gpu_mem_allocated_mb,train_peak_gpu_mem_reserved_mb,val_loss,val_diffusion_loss,val_audio_wave_l1,val_audio_mrstft,val_x0,val_x0_loss,val_timbre_proj_mse,val_quant_embed_mse,val_rvq_ce,val_onset_weighted_x0,val_steps,val_valid_tokens_seen,val_audio_seconds_seen,val_elapsed_sec,val_steps_per_sec,val_tokens_per_sec,val_audio_seconds_per_sec,val_peak_gpu_mem_allocated_mb,val_peak_gpu_mem_reserved_mb,best_val_loss,checkpoint_metric_name,checkpoint_metric_value,best_checkpoint_metric_value,best_checkpoint_epoch,global_step,checkpoint_improved
0,0.9649621900358535,0.43059316621327187,0.0,0.0,0.9963916113386134,0.0,0.0,0.0,5.343690140344169,0.0,2881,2881,1835541,21312.51006603241,422.2255167942494,6.823367810344612,4347.300025674335,50.47660365921939,6150.68408203125,9316.0,0.9062860831618309,0.4238226993232577,0.0,0.0,0.9556488756788895,0.0,0.0,0.0,4.824633756807695,0.0,384,274276,3184.7999968528748,27.70090608857572,13.86236243580377,9901.336769381549,114.9709683383366,2413.01904296875,9316.0,0.9062860831618309,val_loss,0.9062860831618309,0.9062860831618309,0,2881,True
1,0.8907253652635195,0.4010893575496731,0.0,0.0,0.8938473524245816,0.0,0.0,0.0,4.896359995250609,0.0,2881,2881,1835541,21312.51001739502,412.8900701701641,6.977644191861178,4445.592501760868,51.61787981147502,6147.44580078125,6962.0,0.8779789584999284,0.39142554390370304,0.0,0.0,0.9510447175707668,0.0,0.0,0.0,4.8655340614107745,0.0,384,274276,3184.7999968528748,26.57820730470121,14.447927040289029,10319.582387766442,119.82749477198715,2413.01904296875,6962.0,0.8779789584999284,val_loss,0.8779789584999284,0.8779789584999284,1,5762,True
2,0.8655696054251398,0.3891353751906103,0.0,0.0,0.9469434033920268,0.0,0.0,0.0,4.76434221570999,0.0,2881,2881,1835541,21312.51002550125,413.6216935236007,6.965301977894479,4437.72903776689,51.52657696442894,6147.44580078125,6962.0,0.8578174714930356,0.3890484270596062,0.0,0.0,0.8917469032264004,0.0,0.0,0.0,4.687690367146085,0.0,384,274276,3184.7999968528748,26.378810381516814,14.557138644472849,10397.587913675612,120.73326851329165,2413.01904296875,6962.0,0.8578174714930356,val_loss,0.8578174714930356,0.8578174714930356,2,8643,True
3,0.845952767479217,0.37495465172407516,0.0,0.0,1.0061754229252577,0.0,0.0,0.0,4.70998107052561,0.0,2881,2881,1835541,21312.510028362274,414.88475413806736,6.944097056507521,4424.218970912486,51.36971126509458,6147.44580078125,6962.0,0.8358765975572169,0.3822033134638332,0.0,0.0,0.6547557006706484,0.0,0.0,0.0,4.536732770192127,0.0,384,274276,3184.7999968528748,27.187907064333558,14.123926460810594,10088.161598867933,117.14031496859326,2413.01904296875,6962.0,0.8358765975572169,val_loss,0.8358765975572169,0.8358765975572169,3,11524,True
4,0.828925958320276,0.3750449842655387,0.0,0.0,0.7924037332614545,0.0,0.0,0.0,4.538809659434706,0.0,2881,2881,1835541,21312.51003217697,416.179507534951,6.922493654395158,4410.455024256211,51.20989776361618,6147.44580078125,6962.0,0.8185076581624647,0.36534061551598523,0.0,0.0,0.920777254893134,0.0,0.0,0.0,4.5316703381637735,0.0,384,274276,3184.7999968528748,27.056402307003736,14.192574298786168,10137.194032223633,117.70966297424057,2413.01904296875,6962.0,0.8185076581624647,val_loss,0.8185076581624647,0.8185076581624647,4,14405,True
5,0.8137683010854393,0.3605412111124001,0.0,0.0,0.8645687872354498,0.0,0.0,0.0,4.532270816062648,0.0,2881,2881,1835541,21312.510053157806,413.3234437815845,6.970328064726054,4440.931255208375,51.56375805389866,6147.44580078125,6962.0,0.8082232843153179,0.36866971623385325,0.0,0.0,0.9492617745903166,0.0,0.0,0.0,4.395535624430825,0.0,384,274276,3184.7999968528748,27.184502989053726,14.125695075412036,10089.424850270083,117.15498341592948,2413.01904296875,6962.0,0.8082232843153179,val_loss,0.8082232843153179,0.8082232843153179,5,17286,True
6,0.8030384861731935,0.3624710023813066,0.0,0.0,0.8475928105638906,0.0,0.0,0.0,4.405674757766294,0.0,2881,2881,1835541,21312.51007270813,415.25772240012884,6.937860139838561,4420.24531028789,51.32357310425184,6147.44580078125,6962.0,0.7988886732297639,0.34913004776656936,0.0,0.0,0.8928277460994044,0.0,0.0,0.0,4.497586161829531,0.0,384,274276,3184.7999968528748,26.90593235194683,14.271945494288547,10193.885735394493,118.36794782628792,2413.01904296875,6962.0,0.7988886732297639,val_loss,0.7988886732297639,0.7988886732297639,6,20167,True
7,0.7947501652524604,0.35560363698547076,0.0,0.0,0.8001170623407455,0.0,0.0,0.0,4.3914652051755185,0.0,2881,2881,1835541,21312.51005268097,411.8329939432442,6.995554125993698,4457.003268302881,51.750370577686404,6147.44580078125,6962.0,0.7874323486660918,0.34245825505058747,0.0,0.0,0.9464087586869331,0.0,0.0,0.0,4.4497408683722215,0.0,384,274276,3184.7999968528748,27.372733684256673,14.028558653637733,10020.04414918006,116.34935821863495,2413.01904296875,6962.0,0.7874323486660918,val_loss,0.7874323486660918,0.7874323486660918,7,23048,True
8,0.7873998579983909,0.3487779694331014,0.0,0.0,0.8339736245104481,0.0,0.0,0.0,4.386218806866431,0.0,2881,2881,1835541,21312.51005601883,411.16874444670975,7.006855552400572,4464.203626348108,51.83397411371349,6147.44580078125,6962.0,0.7808113827680548,0.34789069525625865,0.0,0.0,0.6712587791068169,0.0,0.0,0.0,4.329206791395943,0.0,384,274276,3184.7999968528748,26.612082796171308,14.429535746643861,10306.446214704405,119.67496198046827,2413.01904296875,6962.0,0.7808113827680548,val_loss,0.7808113827680548,0.7808113827680548,8,25929,True
9,0.778454273473633,0.3524203573165126,0.0,0.0,0.7607393437832936,0.0,0.0,0.0,4.260339089852578,0.0,2881,2881,1835541,21312.5100274086,414.35614170506597,6.95295594785865,4429.8631424812265,51.43524587256777,6147.44580078125,6962.0,0.7789537752978504,0.33849649426701944,0.0,0.0,0.7100191935314797,0.0,0.0,0.0,4.404572743612031,0.0,384,274276,3184.7999968528748,26.646061785519123,14.41113523983067,10293.303461041138,119.52235277723717,2413.01904296875,6962.0,0.7789537752978504,val_loss,0.7789537752978504,0.7789537752978504,9,28810,True
