epoch,train_budget_exact_acc,train_budget_loss,train_budget_mae,train_budget_score,train_class_loss,train_crash_recall,train_crash_velocity_mae,train_event_f1,train_event_precision,train_event_recall,train_fill_accent_shape_acc,train_fill_length_acc,train_fill_start_acc,train_hihat_open_class_acc,train_hihat_open_velocity_bias,train_hihat_open_velocity_mae,train_kick_ghost_recall,train_kick_ghost_velocity_bias,train_kick_ghost_velocity_mae,train_loss,train_offset_loss,train_offset_mae,train_over_budget_loss,train_phrase_loss,train_placement_loss,train_presence_loss,train_snare_ghost_recall,train_snare_ghost_velocity_bias,train_snare_ghost_velocity_mae,train_snare_slot_gt0_recall,train_snare_slot_gt0_velocity_mae,train_tom_crash_recall,train_tom_direction_acc,train_tom_fill_recall,train_tom_velocity_mae,train_velocity_loss,train_velocity_mae,val_budget_exact_acc,val_budget_loss,val_budget_mae,val_budget_score,val_class_loss,val_crash_recall,val_crash_velocity_mae,val_event_f1,val_event_precision,val_event_recall,val_fill_accent_shape_acc,val_fill_length_acc,val_fill_start_acc,val_hihat_open_class_acc,val_hihat_open_velocity_bias,val_hihat_open_velocity_mae,val_kick_ghost_recall,val_kick_ghost_velocity_bias,val_kick_ghost_velocity_mae,val_loss,val_offset_loss,val_offset_mae,val_over_budget_loss,val_phrase_loss,val_placement_loss,val_presence_loss,val_snare_ghost_recall,val_snare_ghost_velocity_bias,val_snare_ghost_velocity_mae,val_snare_slot_gt0_recall,val_snare_slot_gt0_velocity_mae,val_tom_crash_recall,val_tom_direction_acc,val_tom_fill_recall,val_tom_velocity_mae,val_velocity_loss,val_velocity_mae,val_selection_score,val_event_plan_examples,val_event_plan_exact_precision,val_event_plan_exact_recall,val_event_plan_exact_f1,val_event_plan_family_step_precision,val_event_plan_family_step_recall,val_event_plan_family_step_f1,val_event_plan_matched_velocity_mae,val_event_plan_velocity_score,val_event_plan_kick_ghost_recall,val_event_plan_snare_ghost_recall,val_event_plan_snare_roll_drag_recall,val_event_plan_off16_hat_recall,val_event_plan_open_hat_recall,val_event_plan_tom_fill_recall,val_event_plan_crash_recall,val_event_plan_ride_recall,val_event_plan_score,eval_preview_json,eval_preview_grid_batch,eval_preview_plot,eval_preview_pred_events,eval_preview_target_events
0,0.8222728190501092,0.4863877025592393,0.36864784761275377,0.9443826981670949,0.8377199252007416,0.04841127676776101,0.3104003476009843,0.02051755004415793,0.41100487040962963,0.015973464928333292,0.9760877071823204,0.796875,0.7852209944751382,0.4262287809786217,-0.1244097794586206,0.2076720933311552,0.0055248618784530384,0.21324222286885286,0.21806122959483396,2.384543222617049,0.019934509268534777,0.1499232442339481,0.04253747402812555,0.5168217276801864,2.797573920771562,0.23571137054849067,0.005843620006386088,0.14573601301944716,0.1535783665697219,0.00033484012382465174,0.15717173236015752,0.013752244032137302,0.960203729281768,0.00804764487219779,0.2500107452191042,0.02755186587407444,0.19351902398285944,0.8455561151107153,0.4232733144114415,0.2856261550138394,0.954882117609183,0.7527510051925977,0.14958752784878016,0.20624289599557719,0.06705262401374057,0.38512750280400115,0.038902370162153,0.9934895833333334,0.7675151204069456,0.7876764088869095,0.41493813569347066,-0.04382815999512483,0.15110851281012097,0.0,0.10221801659402747,0.10399066098034382,2.2219796776771545,0.016617876399929326,0.13220226826767126,0.03666158153403861,0.4777256241068244,2.7211286077896752,0.23437880538403988,0.005454169722118725,0.14421599296232065,0.15013930636147657,0.0003387533749143283,0.15363027838369211,0.06034998069905365,0.998046875,0.008565571314344803,0.22721370278547207,0.022201453219167888,0.17645684878031412,0.30082566446799325,1534.0,0.8809813287016934,0.6852308419737242,0.7708733068637322,0.8867568279617107,0.7240946575833632,0.7972130112111164,0.08149592608457457,0.8370081478308509,0.06976744186046512,0.12141779788838612,0.09948979591836735,0.3549471661863593,0.4328638497652582,0.15185982170304335,0.19130434782608696,0.12321660181582361,0.47989844083996586,eval_examples/epoch_000_preview.json,eval_examples/epoch_000_grid_batch.pt,eval_examples/epoch_000_preview.png,13,14
1,0.8830355089672363,0.3120307017591118,0.2014776129090325,0.9691813301644931,0.6835195672446193,0.07131081356445729,0.23180777534266203,0.10202907723534173,0.45179405429745245,0.05877435587356845,0.9993093922651933,0.8444118325222921,0.8448434623565463,0.8075864986820116,-0.06457953923566778,0.13842698622968316,0.0,0.10950776963438118,0.11995371541224462,1.9616141767133006,0.018652006705903876,0.14462409938237944,0.013901614375638863,0.3308283640534838,2.685546612871286,0.19410166811218577,0.020820992319582246,0.08493625548621897,0.1030857698034845,0.0,0.12131350857941485,0.013517065606599684,0.9986187845303868,0.004634210242997876,0.2172111197071181,0.018279229151856834,0.15770786391437383,0.8775070334474245,0.36258574823538464,0.23392609631021818,0.9624989281098048,0.6917835312585036,0.054505166287223496,0.18659388770659766,0.20482967499022683,0.4617057554423809,0.13580436488458267,0.9973958333333334,0.7727024505535761,0.8013272831837336,0.5014340908577045,-0.06620264769298956,0.13492501402894655,0.0,0.05755505167568723,0.07159370897958676,2.066902384161949,0.01595621006951357,0.13035879408319792,0.0263574873485292,0.45674273495872814,2.6614568730195365,0.21090930824478468,0.03949356851323197,0.08261817585056026,0.10813009366393089,0.0,0.1415272398541371,0.02131623955210671,0.9993489583333334,0.0037161329528316855,0.21196673748393854,0.01745902323940148,0.15175017279883227,0.3351290182404531,1534.0,0.8673675530818388,0.7105272045661792,0.7811525323035793,0.8735397196261683,0.7506991753316601,0.8074742566238575,0.08248110453174211,0.8350377909365158,0.046511627906976744,0.1546003016591252,0.11224489795918367,0.5629202689721422,0.4488262910798122,0.23670458038733477,0.10869565217391304,0.1303501945525292,0.49326700257047934,eval_examples/epoch_001_preview.json,eval_examples/epoch_001_grid_batch.pt,eval_examples/epoch_001_preview.png,13,14
2,0.8991460925307722,0.26987811461996636,0.17169875116473404,0.973448620316732,0.6350960828652039,0.03415397949804917,0.21629801923563466,0.2008410087524198,0.47100494382131164,0.12958731267662996,0.9993093922651933,0.8602382596685083,0.8655041436464088,0.7981891959740971,-0.053624404385912317,0.12753520568431412,0.0032228361506488443,0.09231548403770513,0.105645676426466,1.842540239102274,0.018280653241836562,0.1429931057915503,0.014319705369014637,0.28223683837369,2.631642727562077,0.18093834068235112,0.05606995146845092,0.0783867708186089,0.09826719948188375,0.0004183109746782819,0.1158200991417163,0.009068426982247533,0.9998273480662984,0.005183109776914449,0.2032131863891749,0.016586658498529572,0.14854031233168438,0.87879861642917,0.3488614770273368,0.22402133730550608,0.9638794387380282,0.6788677809139093,0.023861662329485018,0.1658614662786325,0.19077217625454068,0.452805461982886,0.12821670318953693,0.9986979166666666,0.8065986211101214,0.8117649505535761,0.5036555534849564,-0.06192276863536487,0.12561609828844666,0.0,0.06295008289938171,0.07039069229116042,1.9886351029078166,0.015627458361753572,0.12738410290330648,0.02228165412088856,0.3597145800789197,2.6165377646684647,0.20592051775505146,0.04855010627458493,0.09440197749063373,0.11444673780351877,0.0,0.13243992440402508,0.019822173674280446,1.0,0.011890047074606022,0.19223657188316187,0.016323565000978608,0.14423999252418676,0.3364646321193625,1534.0,0.8944558701264604,0.6903644162247965,0.7792688040867675,0.903992522366137,0.7282179992828971,0.806640586214429,0.08119542566651548,0.837609148666969,0.011627906976744186,0.15384615384615385,0.16071428571428573,0.5172910662824207,0.431924882629108,0.0919151552413157,0.0891304347826087,0.08819714656290532,0.46395787827310636,eval_examples/epoch_002_preview.json,eval_examples/epoch_002_grid_batch.pt,eval_examples/epoch_002_preview.png,13,14
3,0.9091527106353591,0.24257601457982433,0.15202002762430938,0.9763493854037965,0.603437921783542,0.010988430711775195,0.20756642921771135,0.2705067583869175,0.4779603158571443,0.19143838859394768,0.9995683701657458,0.8743093922651933,0.8781940607734806,0.7729493047404026,-0.05267139979077307,0.12336059079315122,0.0017100763584368796,0.0842197707420709,0.10149468722346738,1.76099761678369,0.018081288825905786,0.14207174764812322,0.01493446151721526,0.24736016316150278,2.5790500683679105,0.17475577295649777,0.10504647821332044,0.07390197080390229,0.09571245479402621,0.0010522543992950112,0.11368447871497982,0.0052433412223642705,0.9996546961325967,0.004253870442262671,0.1972168282250673,0.015817559370513778,0.14433076903635625,0.8870416432619095,0.31439509118596715,0.20568453862021366,0.9668292527397474,0.6518236212432384,0.0,0.17393106470505396,0.27185447824498016,0.4868190462390582,0.19393176647524038,0.9986979166666666,0.7851142461101214,0.8404737884799639,0.4654716528020799,-0.10538059069464605,0.14073681086301804,0.0,0.031150916280845802,0.05590198220064243,1.9222456614176433,0.015550961000068734,0.1277002872278293,0.017024833216661744,0.3457099574928482,2.596987172961235,0.20115765432516733,0.08346171036828309,0.061273658143666886,0.09447452581177156,0.0,0.14119157831495008,0.002581793232820928,1.0,0.0030066989129409194,0.1990906735882163,0.015940609737299383,0.14472005733599266,0.3532943666664263,1534.0,0.9009289301746745,0.6845891451923402,0.7779995394181316,0.9083588267050566,0.7239512370025099,0.8057384572409114,0.08059399540097165,0.8388120091980567,0.011627906976744186,0.1726998491704374,0.10076530612244898,0.44188280499519694,0.41784037558685444,0.07377805102981863,0.030434782608695653,0.1614785992217899,0.46218965334473067,eval_examples/epoch_003_preview.json,eval_examples/epoch_003_grid_batch.pt,eval_examples/epoch_003_preview.png,13,14
4,0.9144833390883977,0.22486989595284118,0.1427975368598548,0.9776090544890303,0.5808683019645965,0.001658046031525122,0.20589408253767214,0.31615017016948255,0.4795959796036146,0.236940605535033,0.9998273480662984,0.8815319982681485,0.8918911142902479,0.7627661376368275,-0.049136683366467884,0.11883958639031615,0.001074278716882948,0.0778786086944287,0.09808270123823243,1.7107059296982063,0.0179170028188199,0.14120214712389267,0.014825649410280405,0.2278262592893279,2.5483053520898133,0.17206634169454732,0.13963807283679425,0.06990136110445083,0.0946427385904183,0.003344733875183111,0.11125901590477037,0.0031810473568367036,1.0,0.0032849090163549663,0.19509389634290453,0.015403681527308666,0.1422491169107553,0.8943816150228182,0.29833053580174845,0.18824029713869095,0.9693531294663748,0.646626898398002,0.0,0.16900282135854164,0.35082807081441086,0.4923089916507403,0.2785493141661088,1.0,0.8333123301466306,0.8495463704069456,0.47951123025268316,-0.09245968256921817,0.13381522754207253,0.0,0.03956733364611864,0.054388438196231924,1.867234190305074,0.015508276662634065,0.12774203872929016,0.031137242952051263,0.2972127557732165,2.5546754648288093,0.1952384766191244,0.17080141177090505,0.0754587110131979,0.09774075448513031,0.0009157509387781223,0.14036305442762873,0.0021645021624863148,1.0,0.0022831050058205924,0.1928990806142489,0.0152275709163708,0.13991600337127844,0.3821307419838073,1534.0,0.8826968371467026,0.7088047553108852,0.7862508195185913,0.892547141574379,0.7484403011832198,0.814166195370244,0.08345509258848273,0.8330898148230346,0.0,0.19004524886877827,0.13903061224489796,0.6585014409221902,0.507981220657277,0.1331079003996311,0.013043478260869565,0.185473411154345,0.47565014094228314,eval_examples/epoch_004_preview.json,eval_examples/epoch_004_grid_batch.pt,eval_examples/epoch_004_preview.png,14,14
5,0.9168501094559938,0.21654099069576896,0.13511812275285878,0.9788687209398048,0.5630507434599966,0.0,0.20061963747219486,0.34573377265455973,0.4805354744360592,0.27155612516139754,0.9999136740331491,0.8900782689863805,0.9018186004780933,0.76367256555768,-0.04936338881756184,0.1157490542333429,0.0028503265087775763,0.08162300584603677,0.09572941443538138,1.66689077530118,0.017792229319392647,0.14051875249786272,0.015614405266673032,0.206168620131951,2.5049642581307427,0.1690437185336213,0.1620206369025355,0.07012027749555051,0.0934096799535646,0.003527071079990482,0.11106488335033807,0.002871319278560126,0.9999136740331491,0.0033846129843378594,0.19270440656177246,0.01498454198941012,0.13955253572589127,0.8954264322916666,0.30554648240407306,0.19289472016195455,0.9687569985787073,0.6353326390186945,0.0,0.16375277439753214,0.3376026414334774,0.47482392688592273,0.26695679035037756,0.998046875,0.8352654551466306,0.8619371627767881,0.4959555125484864,-0.06303415019162155,0.11707780556753278,0.0,0.050766255628938474,0.0577725648569564,1.8532717178265254,0.01554207237980639,0.12732569283495346,0.02743193324810515,0.2846615564388533,2.530007913708687,0.1944452611108621,0.17074077615203956,0.07281057393023123,0.10000762312362592,0.0008680555814256271,0.13609454113369188,0.0037633131723850965,1.0,0.004092291230335832,0.18389062924931446,0.014725447729385147,0.13667146923641363,0.3797960787949463,1534.0,0.8862771913329629,0.7003951501232734,0.782447932387564,0.8960729008461705,0.740408748655432,0.8108373417100225,0.0828804827418023,0.8342390345163954,0.011627906976744186,0.18627450980392157,0.11224489795918367,0.6147934678194045,0.48826291079812206,0.09591146633876421,0.002173913043478261,0.17120622568093385,0.4676574068519828,eval_examples/epoch_005_preview.json,eval_examples/epoch_005_grid_batch.pt,eval_examples/epoch_005_preview.png,14,14
6,0.9205693197513812,0.20574240789887654,0.12955009789098035,0.9795770154473531,0.5501538169318141,0.0,0.20132721890566757,0.36634711616605686,0.4795341020789594,0.29771974740436724,1.0,0.8994302486187845,0.9083793739587562,0.7494770994008575,-0.04368518636984338,0.11096466717552085,0.0033214944337613015,0.09209468400038943,0.10639770033650965,1.6261451791004582,0.017713308159406013,0.14001632930494803,0.016139136640180046,0.18836318322802117,2.4635371187115243,0.16698494998131008,0.19932060233878168,0.06836339473230404,0.09347526089015587,0.006301888388205957,0.11084728428672032,0.0029496227864443596,1.0,0.0034807195413590138,0.18980246238945597,0.014617344019780171,0.137136770257963,0.8933945521712303,0.292204172971348,0.19053994429608187,0.9689856072266897,0.6338950706024965,0.0,0.1653847669561704,0.4052005683382352,0.4752496692041556,0.360846350590388,1.0,0.830078125,0.85546875,0.41261038805047673,-0.07480726939441713,0.12176231830380857,0.0,0.04919034335762262,0.056921863462775946,1.8382613907257717,0.015422501601278782,0.12758804392069578,0.028641876473557204,0.2971849244398375,2.5153215527534485,0.19447832802931467,0.32357523559282225,0.0769861287844833,0.101822045010825,0.00196133639353017,0.12666957126930356,0.0019483489450067282,1.0,0.0020143894168237844,0.1793194804340601,0.01455161542010804,0.13413558652003607,0.40956525499466817,1534.0,0.882861438236031,0.7140058765915769,0.7895061152086639,0.8931906945151978,0.754392255288634,0.8179450297399214,0.08364912105121837,0.8327017578975633,0.0,0.19607843137254902,0.14030612244897958,0.5883765609990393,0.49671361502347416,0.19581924377497695,0.0,0.245136186770428,0.4895033237426589,eval_examples/epoch_006_preview.json,eval_examples/epoch_006_grid_batch.pt,eval_examples/epoch_006_preview.png,13,14
7,0.9237274115915457,0.19608751943756864,0.12150739526468746,0.9807861779934793,0.5348108759901141,0.0,0.20002464933619316,0.38178748254617934,0.4806884016779905,0.3179676442185818,0.9999136740331491,0.9064226519337016,0.9159185082872928,0.7451231094355083,-0.03781952033943666,0.10752725407728174,0.0022666100721332907,0.09843953567665091,0.10872986628699698,1.5885456247224334,0.017559507218554864,0.13943004723411898,0.016677315668485935,0.1741146578019979,2.4252932137547276,0.1651895268516646,0.22728668832482554,0.06616227323117342,0.09312970242694596,0.009716409994340734,0.10975769559405127,0.002408206439705679,1.0,0.002803768211389115,0.18740920755415333,0.014587712803474777,0.136918048544154,0.8928432663281759,0.29142326954752207,0.17772912451376519,0.9705461636185646,0.6261691836019357,0.0,0.1662474237382412,0.3695557601749897,0.4825890964517991,0.3037988484526674,1.0,0.8730048711101214,0.8788432454069456,0.4869436727215846,-0.05245728821804126,0.11077275197021663,0.0,0.04370381989125841,0.052235621493309736,1.7960801720619202,0.015409998692727337,0.1264725560322404,0.031185426089602213,0.22978780309980115,2.4730155368645987,0.1951945691059033,0.2316238204948604,0.06360686597569536,0.09352312749251723,0.0008680555814256271,0.14261719452527663,0.0057884468308960395,1.0,0.006667108333203942,0.18125554701934257,0.014374764985404909,0.13457618250201145,0.39517966483622635,1534.0,0.8889125708683234,0.7042791043263873,0.7858973392628326,0.8981717595193845,0.7451057726783793,0.8145099653124817,0.08314362608462343,0.8337127478307531,0.0,0.19457013574660634,0.09821428571428571,0.6565802113352546,0.49577464788732395,0.10175222871195819,0.0,0.18028534370946822,0.4702779549481614,eval_examples/epoch_007_preview.json,eval_examples/epoch_007_grid_batch.pt,eval_examples/epoch_007_preview.png,14,14
8,0.9253999771992805,0.1896259266862553,0.1171263524470079,0.9814457620046415,0.5222900488429306,0.0,0.20333730161848648,0.3917812094174696,0.4767977699061125,0.33330301816950847,0.9999136740331491,0.9136740331491713,0.926450276243094,0.7460722990786832,-0.03948274224955403,0.10400354314739532,0.0013812154696132596,0.09954224085404399,0.1127909425625485,1.5554111932522685,0.017461613654184735,0.13903746930933789,0.017024238114065147,0.15968949010644562,2.386329629803231,0.1637374311685562,0.2651574677525304,0.0669000773222407,0.09342072554220811,0.012448244614948555,0.1106791856868491,0.0016454041019617195,0.9998273480662984,0.0019119073950700997,0.18715453024397896,0.014464834092689153,0.1358348178929387,0.8989835331837336,0.2875489091190199,0.17745873207847276,0.9708953127264977,0.6437641804416975,0.0,0.1605538489917914,0.4132125408699115,0.501671543965737,0.3566827892015378,1.0,0.8508904551466306,0.8821404551466306,0.5147215419759353,-0.04983567759821502,0.10948494744176666,0.0,0.05391601447869713,0.06452510862921675,1.8029141823450725,0.015406539877100537,0.12698713472733894,0.03942577665050825,0.24376735789701343,2.47054689625899,0.1917838534961144,0.28535870695486665,0.07150598432053812,0.09931335737928748,0.002729853013685594,0.1338031196889157,0.00045787546938906115,1.0,0.0005630630766972899,0.17806662867466608,0.014198842439024398,0.13222679092238346,0.4128456037200522,1534.0,0.8899957609156423,0.7090749434293627,0.7893005507622324,0.9023251793586308,0.7485837217640732,0.8182958375793682,0.08435684908475115,0.8312863018304977,0.0,0.23906485671191555,0.1556122448979592,0.6027857829010567,0.49295774647887325,0.09929296034429758,0.0,0.2795071335927367,0.4810632368836449,eval_examples/epoch_008_preview.json,eval_examples/epoch_008_grid_batch.pt,eval_examples/epoch_008_preview.png,14,14
9,0.9288530158733136,0.18176463221647463,0.11181730548568193,0.9822712527454228,0.5129962554458756,0.0004249893910977063,0.1988181513399709,0.4025344603298777,0.4778969019486759,0.3489113705263612,0.9999136740331491,0.9157458563535912,0.9290400552486188,0.7639801703105316,-0.03971644090449963,0.1026759245921729,0.0011049723921559792,0.10859331394705242,0.11740356858161108,1.5281519112666009,0.017344457272296124,0.13844181177365847,0.01751112477668659,0.1521767091047204,2.3554152441288227,0.16267977737260786,0.2792262904222499,0.06724568179587304,0.09374637918248362,0.01788812455880708,0.10786748940938086,0.001356826225573516,0.9998273480662984,0.0015336309472170982,0.1886470335129216,0.014352763622217086,0.13479702779765945,0.9005507578452429,0.28729871567338705,0.17629578274985155,0.970705529054006,0.6294772115846475,0.0,0.16129401605576277,0.40241417350868386,0.5035458002239466,0.34198204552133876,1.0,0.8528435801466306,0.8723958333333334,0.47949355157713097,-0.05553455860354006,0.10660106502473354,0.0,0.05703362624626607,0.06679994985461235,1.7883702119191487,0.015306660265196115,0.12667198230822882,0.02882730104223204,0.24625305536513528,2.4533427407344184,0.1923240413889289,0.30965354728202027,0.07081735238898546,0.1004715411302944,0.0008680555814256271,0.13553501153364778,0.0,1.0,0.0,0.18099947180598974,0.014039105755121758,0.13166198848436275,0.4099036055989564,1534.0,0.8983087410475451,0.7031983518524773,0.7888684714039441,0.9059646056368801,0.7433847257081391,0.8166617429837519,0.08283726775502577,0.8343254644899485,0.0,0.23906485671191555,0.11734693877551021,0.6277617675312199,0.4647887323943662,0.06547802028896403,0.0,0.2204928664072633,0.47255481314551223,eval_examples/epoch_009_preview.json,eval_examples/epoch_009_grid_batch.pt,eval_examples/epoch_009_preview.png,14,14
